
source_page,selector,text,accessible_name,final_url,status_or_event,notes
"/","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/emergency-tax-attorney","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/irs-audit-help","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/tax-debt-relief","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/wage-garnishment","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/tax-liens-levies","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/business-services","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/about-us","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/contact","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/irs-audit-defense","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/irs-fresh-start-program","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/penalty-abatement","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/currently-not-collectible","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/innocent-spouse-relief","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/unfiled-tax-returns","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/trust-fund-recovery-penalty","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/criminal-tax-defense","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/tax-planning","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/privacy-policy","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/terms-of-service","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
"/disclaimer","button:nth-of-type(1)","Learn More","Learn more about our company and team","NO_CHANGE","NO_NAVIGATION","No visible effect from button click"
